"State / Jurisdiction","Model","Notes"
"Alabama","income_shares",""
"Alaska","percentage","Listed as Percentage model per NCSL; functions as hybrid (Income Shares primary with percentage-of-income option). No fixed statutory table — see Percentage Tables sheet."
"Arizona","income_shares",""
"Arkansas","income_shares",""
"California","income_shares",""
"Colorado","income_shares",""
"Connecticut","income_shares",""
"Delaware","melson","Melson Formula (self-support reserve)."
"District of Columbia","income_shares",""
"Florida","income_shares",""
"Georgia","income_shares",""
"Hawaii","melson","Melson Formula (self-support reserve)."
"Idaho","income_shares",""
"Illinois","income_shares",""
"Indiana","income_shares",""
"Iowa","income_shares",""
"Kansas","income_shares",""
"Kentucky","income_shares",""
"Louisiana","income_shares",""
"Maine","income_shares",""
"Maryland","income_shares",""
"Massachusetts","income_shares",""
"Michigan","income_shares",""
"Minnesota","income_shares",""
"Mississippi","percentage","Fixed statutory table — see Percentage Tables sheet."
"Missouri","income_shares",""
"Montana","melson","Melson Formula (self-support reserve)."
"Nebraska","income_shares",""
"Nevada","percentage","Varying percentage-of-income — see Percentage Tables sheet."
"New Hampshire","income_shares",""
"New Jersey","income_shares",""
"New Mexico","income_shares",""
"New York","income_shares",""
"North Carolina","income_shares",""
"North Dakota","percentage","Fixed statutory table — see Percentage Tables sheet."
"Ohio","income_shares",""
"Oklahoma","income_shares",""
"Oregon","income_shares",""
"Pennsylvania","income_shares",""
"Rhode Island","income_shares",""
"South Carolina","income_shares",""
"South Dakota","income_shares",""
"Tennessee","income_shares",""
"Texas","percentage","Fixed statutory table (net resources) — see Percentage Tables sheet."
"Utah","income_shares",""
"Vermont","income_shares",""
"Virginia","income_shares",""
"Washington","income_shares",""
"West Virginia","income_shares",""
"Wisconsin","percentage","Fixed statutory table (gross income) — see Percentage Tables sheet."
"Wyoming","income_shares",""
